hospital_id,hospital,state,ruca,cbsa,payment_type,closure_year,beds,services_remaining,closure_type,reopened_year
4045,Eastgate County Hospital,West Virginia,5.3,Neither,REH,2010,14.0,Nursing or Rehabilitation Facility,Converted,
4075,Birchwood Community Hospital,Alabama,10.3,Micro,PPS,2021,55.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4039,Ridgeway Community Medical Center,Mississippi,4.3,Micro,PPS,2020,38.0,No remaining services,Complete,
4036,Westbend General Hospital,Texas,5.0,Micro,CAH,2023,25.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4118,Fairview General Hospital,Tennessee,7.2,Neither,CAH,2021,52.0,No remaining services,Complete,
4141,Talmadge Area Hospital,Minnesota,7.3,Micro,PPS,2012,48.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4108,Oak Grove Medical Center,Florida,9.2,Neither,SCH,2017,25.0,No remaining services,Complete,
4012,Quincy Flats District Hospital,Tennessee,2.1,Neither,CAH,2010,19.0,Nursing or Rehabilitation Facility,Complete,2011.0
4148,Stonegate General Hospital,Minnesota,10.1,Micro,CAH,2026,29.0,Urgent or Emergency Care,Converted,
4084,Verona Community Hospital,Pennsylvania,7.2,Metro,MDH,2015,49.0,No remaining services,Complete,
4123,Red Rock County Hospital,Mississippi,7.2,Neither,CAH,2013,25.0,Urgent or Emergency Care,Converted,
4136,Marshton District Hospital,Mississippi,4.0,Neither,CAH,2013,27.0,Nursing or Rehabilitation Facility,Converted,
4011,Riverton Memorial Hospital,Oklahoma,4.0,Neither,PPS,2025,27.0,No remaining services,Complete,
4114,Talmadge Regional Medical Center,Texas,9.2,Metro,IHS,2021,52.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4002,Banner General Hospital,Tennessee,2.3,Metro,CAH,2024,25.0,No remaining services,Complete,
4105,Red Rock Area Hospital,Kentucky,10.2,Metro,SCH,2019,46.0,Nursing or Rehabilitation Facility,Converted,
4111,Ashford Medical Center,Michigan,10.2,Micro,CAH,2019,25.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4065,Quincy Flats Area Hospital,Georgia,1.0,Neither,PPS,2026,25.0,No remaining services,Complete,
4055,Millbrook Memorial Hospital,Minnesota,4.3,Micro,RRC,2016,54.0,No remaining services,Complete,
4104,Holloway Community Hospital,Alabama,5.0,Micro,PPS,2015,37.0,Nursing or Rehabilitation Facility,Converted,
4135,Fairview Area Hospital,Texas,9.3,Micro,CAH,2018,25.0,No remaining services,Complete,
4046,Quincy Flats County Hospital,Pennsylvania,9.2,Neither,PPS,2022,25.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4062,Clearwater District Hospital,Minnesota,9.1,Metro,MDH,2021,25.0,No remaining services,Complete,
4074,Petersham County Hospital,Oklahoma,4.3,Metro,PPS,2009,34.0,No remaining services,Complete,
4117,Halcyon Regional Medical Center,Kansas,7.3,Micro,CAH,2023,13.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4094,Linden County Hospital,Pennsylvania,10.2,Neither,MDH,2019,14.0,No remaining services,Complete,2022.0
4090,Oak Grove Memorial Hospital,Alabama,10.1,Micro,SCH,2013,25.0,Long-Term Care,Converted,
4010,Brookfield Medical Center,West Virginia,1.3,Micro,CAH,2020,33.0,No remaining services,Complete,
4034,Millbrook District Hospital,Kentucky,10.2,Micro,CAH,2026,25.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4032,Prairie City District Hospital,Alabama,9.0,Neither,SCH,2019,20.0,No remaining services,Complete,
4125,Maple Creek County Hospital,Kansas,2.2,Neither,PPS,2024,25.0,Urgent or Emergency Care,Converted,
4038,Foxworth County Hospital,South Carolina,10.3,Neither,MDH,2020,25.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4083,Ashford Area Hospital,California,9.3,Metro,CAH,2011,14.0,No remaining services,Complete,2012.0
4112,Underwood Memorial Hospital,Nebraska,1.3,Neither,CAH,2016,25.0,No remaining services,Complete,2019.0
4064,Elk Ridge Area Hospital,Oklahoma,9.3,Micro,MDH,2014,25.0,Long-Term Care,Converted,2016.0
4027,Birchwood Memorial Hospital,Missouri,10.2,Metro,MDH,2026,40.0,No remaining services,Complete,
4023,Clearwater Medical Center,West Virginia,1.3,Metro,CAH,2017,25.0,Nursing or Rehabilitation Facility,Converted,
4067,Holloway Regional Medical Center,Alabama,2.1,Metro,CAH,2020,49.0,Nursing or Rehabilitation Facility,Converted,
4131,Cobbton Community Medical Center,Texas,7.3,Metro,SCH,2020,20.0,Urgent or Emergency Care,Converted,
4098,Maple Creek Community Medical Center,Kansas,9.0,Metro,CAH,2011,30.0,Long-Term Care,Converted,
4120,Marshton Memorial Hospital,Florida,9.3,Metro,PPS,2013,29.0,Outpatient/Primary Care/Rural Health Clinic,Converted,2015.0
4143,Brookfield Area Hospital,Tennessee,1.2,Micro,CAH,2023,25.0,No remaining services,Complete,
4087,Hollis Medical Center,Texas,7.1,Neither,MDH,2014,25.0,No remaining services,Complete,
4142,Holloway Area Hospital,Maine,1.3,Neither,CAH,2024,25.0,Urgent or Emergency Care,Converted,
4110,Glenwood Area Hospital,Georgia,1.2,Metro,CAH,2021,25.0,Urgent or Emergency Care,Converted,
4064,Elk Ridge Area Hospital,Oklahoma,9.3,Micro,MDH,2014,25.0,Long-Term Care,Converted,2016.0
4015,Linden General Hospital,Missouri,1.1,Micro,RRC,2010,25.0,No remaining services,Complete,
4082,Birchwood County Hospital,New York,4.2,Micro,PPS,2007,28.0,No remaining services,Complete,
4041,Dover Plains County Hospital,Alabama,4.3,Metro,CAH,2026,25.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4080,Marshton County Hospital,Kansas,10.0,Neither,CAH,2009,50.0,No remaining services,Complete,
4026,Hartland Community Medical Center,North Carolina,4.3,Metro,CAH,2010,50.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4076,Sunset Valley Memorial Hospital,North Carolina,7.0,Metro,MDH,2021,29.0,No remaining services,Complete,
4043,Danforth District Hospital,Oklahoma,4.3,Neither,PPS,2010,11.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4024,Two Rivers Area Hospital,Tennessee,9.0,Neither,CAH,2019,25.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4149,Sawyerville County Hospital,North Carolina,9.3,Metro,CAH,2006,44.0,No remaining services,Complete,
4116,Elk Ridge Regional Medical Center,Pennsylvania,4.0,Metro,MDH,2014,25.0,Urgent or Emergency Care,Converted,
4130,Prairie City County Hospital,Oklahoma,2.2,Metro,CAH,2013,25.0,No remaining services,Complete,
4021,Camden Hills Regional Medical Center,California,9.3,Metro,CAH,2011,33.0,No remaining services,Complete,
4003,Greencastle Memorial Hospital,Tennessee,2.1,Metro,CAH,2016,27.0,No remaining services,Complete,
4146,Petersham Regional Medical Center,Kentucky,1.2,Metro,CAH,2016,25.0,Urgent or Emergency Care,Converted,
4030,Whitfield District Hospital,Kentucky,5.2,Micro,IHS,2010,21.0,No remaining services,Complete,
4002,Banner General Hospital,Tennessee,2.3,Metro,CAH,2024,25.0,No remaining services,Complete,
4106,Caldwell Area Hospital,New York,5.0,Metro,PPS,2014,25.0,No remaining services,Complete,
4047,Red Rock Regional Medical Center,Tennessee,1.2,Metro,PPS,2012,25.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4013,Linden Community Hospital,New York,5.0,Neither,PPS,2010,25.0,Nursing or Rehabilitation Facility,Converted,
4008,Foxworth Area Hospital,Minnesota,5.1,Micro,CAH,2005,25.0,No remaining services,Complete,
4081,Millbrook Medical Center,Missouri,2.3,Metro,PPS,2015,25.0,No remaining services,Complete,
4060,Dover Plains General Hospital,Texas,9.3,Micro,IHS,2023,25.0,No remaining services,Complete,
4128,Junction City Medical Center,Georgia,4.0,Micro,MDH,2014,42.0,Long-Term Care,Converted,
4001,Sawyerville Regional Medical Center,Oklahoma,7.2,Neither,CAH,2025,26.0,Nursing or Rehabilitation Facility,Converted,
4022,Greencastle Regional Medical Center,Mississippi,10.2,Micro,PPS,2017,22.0,No remaining services,Complete,
4061,Ashford Community Hospital,Oklahoma,7.1,Micro,PPS,2013,25.0,No remaining services,Complete,
4063,Quincy Flats Community Hospital,Georgia,7.2,Micro,CAH,2019,25.0,No remaining services,Complete,
4007,Whitfield Community Hospital,Texas,7.3,Metro,REH,2019,16.0,No remaining services,Complete,
4086,Pine Bluff General Hospital,Alabama,2.1,Metro,CAH,2008,37.0,Long-Term Care,Converted,
4096,Walnut Ridge District Hospital,Missouri,10.3,Metro,CAH,2016,48.0,No remaining services,Complete,
4068,Springvale Regional Medical Center,Arizona,4.0,Neither,CAH,2016,33.0,No remaining services,Complete,
4050,Halcyon County Hospital,Maine,2.0,Neither,CAH,2020,46.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4139,Westbend Memorial Hospital,South Carolina,4.1,Neither,PPS,2023,9.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4101,Lakeview Area Hospital,Kansas,2.2,Neither,REH,2026,25.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4020,Prairie City General Hospital,Texas,7.1,Micro,PPS,2010,32.0,No remaining services,Converted,
4025,Vesper Medical Center,Georgia,7.1,Micro,PPS,2018,31.0,No remaining services,Complete,
4134,Lakeview County Hospital,Alabama,5.2,Micro,CAH,2016,25.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4071,Verona Area Hospital,Michigan,7.1,Neither,CAH,2022,10.0,No remaining services,Complete,
4129,Marigold Community Hospital,Texas,4.0,Neither,RRC,2020,15.0,No remaining services,Complete,
4144,Glenwood County Hospital,Tennessee,1.2,Metro,MDH,2025,48.0,No remaining services,Complete,
4079,Camden Hills District Hospital,Tennessee,7.3,Micro,CAH,2006,31.0,Long-Term Care,Converted,
4133,Stonegate Community Medical Center,North Carolina,9.2,Micro,PPS,2025,25.0,Long-Term Care,Converted,
4072,Vesper Memorial Hospital,Tennessee,7.3,Micro,MDH,2019,47.0,Long-Term Care,Converted,2021.0
4140,Birchwood Community Medical Center,Oklahoma,7.1,Micro,PPS,2011,49.0,Long-Term Care,Converted,
4037,Walnut Ridge Medical Center,Kentucky,1.3,Micro,RRC,2019,45.0,No remaining services,Complete,
