date,resp_ed_visits,pct_positive
2023-05-06,93,0.5
2023-05-07,91,0.5
2023-05-08,92,0.5
2023-05-09,96,0.5
2023-05-10,98,0.5
2023-05-11,99,0.5
2023-05-12,113,0.5
2023-05-13,99,0.5
2023-05-14,74,0.5
2023-05-15,108,0.5
2023-05-16,98,0.5
2023-05-17,91,0.5
2023-05-18,79,0.5
2023-05-19,86,0.5
2023-05-20,74,0.5
2023-05-21,78,0.5
2023-05-22,78,0.5
2023-05-23,88,0.5
2023-05-24,73,0.5
2023-05-25,72,0.5
2023-05-26,77,0.5
2023-05-27,69,0.5
2023-05-28,67,0.5
2023-05-29,69,0.5
2023-05-30,74,0.5
2023-05-31,85,0.5
2023-06-01,69,0.5
2023-06-02,86,0.5
2023-06-03,68,0.5
2023-06-04,70,0.5
2023-06-05,80,0.5
2023-06-06,62,0.5
2023-06-07,59,0.5
2023-06-08,65,0.5
2023-06-09,53,0.5
2023-06-10,40,0.5
2023-06-11,54,0.5
2023-06-12,65,0.5
2023-06-13,57,0.5
2023-06-14,59,0.5
2023-06-15,73,0.5
2023-06-16,52,0.5
2023-06-17,40,0.5
2023-06-18,38,0.5
2023-06-19,55,0.5
2023-06-20,68,0.5
2023-06-21,60,0.5
2023-06-22,54,0.5
2023-06-23,64,0.5
2023-06-24,28,0.5
2023-06-25,43,0.5
2023-06-26,58,0.5
2023-06-27,42,0.5
2023-06-28,41,0.5
2023-06-29,33,0.5
2023-06-30,55,0.5
2023-07-01,42,0.5
2023-07-02,20,0.5
2023-07-03,56,0.5
2023-07-04,53,0.5
2023-07-05,59,0.5
2023-07-06,50,0.5
2023-07-07,38,0.5
2023-07-08,29,0.5
2023-07-09,37,0.5
2023-07-10,38,0.5
2023-07-11,47,0.5
2023-07-12,43,0.5
2023-07-13,49,0.5
2023-07-14,45,0.5
2023-07-15,34,0.5
2023-07-16,33,0.5
2023-07-17,68,0.5
2023-07-18,45,0.5
2023-07-19,48,0.5
2023-07-20,37,0.5
2023-07-21,48,0.5
2023-07-22,47,0.5
2023-07-23,20,0.5
2023-07-24,32,0.5
2023-07-25,43,0.5
2023-07-26,36,0.5
2023-07-27,64,0.5
2023-07-28,26,0.5
2023-07-29,32,0.5
2023-07-30,37,0.5
2023-07-31,49,0.5
2023-08-01,49,0.5
2023-08-02,39,0.5
2023-08-03,60,0.5
2023-08-04,54,0.5
2023-08-05,34,0.5
2023-08-06,31,0.5
2023-08-07,52,0.5
2023-08-08,47,0.5
2023-08-09,47,0.5
2023-08-10,48,0.5
2023-08-11,38,0.5
2023-08-12,26,0.5
2023-08-13,40,0.5
2023-08-14,60,0.5
2023-08-15,50,0.5
2023-08-16,64,0.5
2023-08-17,47,0.5
2023-08-18,60,0.5
2023-08-19,64,0.5
2023-08-20,50,0.5
2023-08-21,91,0.5
2023-08-22,56,0.5
2023-08-23,59,0.5
2023-08-24,65,0.5
2023-08-25,77,0.5
2023-08-26,39,0.5
2023-08-27,59,0.5
2023-08-28,86,0.5
2023-08-29,84,0.5
2023-08-30,60,0.5
2023-08-31,69,0.5
2023-09-01,72,0.5
2023-09-02,56,0.5
2023-09-03,51,0.5
2023-09-04,65,0.5
2023-09-05,66,0.5
2023-09-06,88,0.5
2023-09-07,82,0.5
2023-09-08,61,0.5
2023-09-09,84,0.5
2023-09-10,82,0.5
2023-09-11,81,0.5
2023-09-12,89,0.5
2023-09-13,67,0.5
2023-09-14,110,0.5
2023-09-15,94,0.5
2023-09-16,66,0.5
2023-09-17,75,0.5
2023-09-18,101,0.5
2023-09-19,106,0.5
2023-09-20,95,0.5
2023-09-21,113,0.5
2023-09-22,90,0.5
2023-09-23,95,0.5
2023-09-24,82,0.5
2023-09-25,101,1.4
2023-09-26,99,0.5
2023-09-27,99,0.6
2023-09-28,118,1.2
2023-09-29,108,3.0
2023-09-30,94,2.5
2023-10-01,108,1.4
2023-10-02,122,1.1
2023-10-03,130,0.8
2023-10-04,128,4.0
2023-10-05,125,0.5
2023-10-06,126,0.5
2023-10-07,93,5.8
2023-10-08,111,4.3
2023-10-09,128,2.8
2023-10-10,125,6.1
2023-10-11,141,4.2
2023-10-12,134,5.1
2023-10-13,131,5.6
2023-10-14,119,3.8
2023-10-15,130,3.2
2023-10-16,134,4.3
2023-10-17,143,3.7
2023-10-18,161,4.8
2023-10-19,136,4.4
2023-10-20,151,8.6
2023-10-21,153,9.0
2023-10-22,127,8.1
2023-10-23,157,6.3
2023-10-24,138,8.3
2023-10-25,167,8.9
2023-10-26,160,9.8
2023-10-27,173,10.8
2023-10-28,139,9.9
2023-10-29,137,10.8
2023-10-30,149,9.6
2023-10-31,163,7.9
2023-11-01,149,11.4
2023-11-02,172,11.1
2023-11-03,175,11.7
2023-11-04,162,9.9
2023-11-05,175,8.5
2023-11-06,176,10.1
2023-11-07,186,10.5
2023-11-08,169,16.2
2023-11-09,180,15.0
2023-11-10,179,13.4
2023-11-11,169,13.0
2023-11-12,178,15.9
2023-11-13,185,14.6
2023-11-14,196,11.3
2023-11-15,205,13.0
2023-11-16,185,15.2
2023-11-17,187,14.6
2023-11-18,172,14.5
2023-11-19,186,19.5
2023-11-20,201,14.2
2023-11-21,197,16.2
2023-11-22,199,16.1
2023-11-23,204,13.7
2023-11-24,198,19.3
2023-11-25,192,14.6
2023-11-26,176,16.9
2023-11-27,196,15.4
2023-11-28,209,18.1
2023-11-29,204,16.3
2023-11-30,198,18.8
2023-12-01,196,17.3
2023-12-02,203,17.4
2023-12-03,196,18.9
2023-12-04,211,16.5
2023-12-05,210,20.6
2023-12-06,212,17.3
2023-12-07,220,19.8
2023-12-08,224,18.7
2023-12-09,212,18.3
2023-12-10,201,16.6
2023-12-11,203,20.0
2023-12-12,238,18.0
2023-12-13,220,19.0
2023-12-14,224,17.0
2023-12-15,229,21.1
2023-12-16,219,20.6
2023-12-17,200,18.3
2023-12-18,224,18.6
2023-12-19,230,18.9
2023-12-20,218,24.2
2023-12-21,221,20.2
2023-12-22,212,22.7
2023-12-23,226,23.6
2023-12-24,229,20.5
2023-12-25,240,22.5
2023-12-26,232,20.2
2023-12-27,234,22.0
2023-12-28,230,22.1
2023-12-29,231,24.4
2023-12-30,215,22.1
2023-12-31,210,27.5
2024-01-01,219,23.8
2024-01-02,207,20.7
2024-01-03,242,22.7
2024-01-04,225,21.8
2024-01-05,230,22.4
2024-01-06,211,22.9
2024-01-07,222,23.8
2024-01-08,237,20.4
2024-01-09,242,21.5
2024-01-10,232,25.4
2024-01-11,226,21.2
2024-01-12,230,23.2
2024-01-13,218,25.0
2024-01-14,214,24.7
2024-01-15,227,24.8
2024-01-16,247,24.5
2024-01-17,243,22.3
2024-01-18,224,23.0
2024-01-19,229,23.9
2024-01-20,226,22.6
2024-01-21,224,21.5
2024-01-22,237,21.6
2024-01-23,235,24.3
2024-01-24,252,22.6
2024-01-25,230,25.5
2024-01-26,233,23.9
2024-01-27,223,21.6
2024-01-28,225,20.7
2024-01-29,234,21.3
2024-01-30,221,21.1
2024-01-31,234,20.9
2024-02-01,230,19.4
2024-02-02,238,20.2
2024-02-03,208,21.6
2024-02-04,219,20.9
2024-02-05,218,19.0
2024-02-06,244,23.4
2024-02-07,236,20.2
2024-02-08,236,21.3
2024-02-09,238,21.0
2024-02-10,220,19.1
2024-02-11,196,22.8
2024-02-12,209,20.8
2024-02-13,231,21.0
2024-02-14,222,21.5
2024-02-15,227,19.4
2024-02-16,226,21.4
2024-02-17,206,20.6
2024-02-18,211,19.2
2024-02-19,229,21.4
2024-02-20,216,21.1
2024-02-21,226,21.8
2024-02-22,206,17.3
2024-02-23,225,21.2
2024-02-24,203,15.4
2024-02-25,196,21.3
2024-02-26,209,19.2
2024-02-27,202,18.1
2024-02-28,211,17.2
2024-02-29,214,15.2
2024-03-01,209,16.3
2024-03-02,177,17.1
2024-03-03,194,17.1
2024-03-04,213,
2024-03-05,206,
2024-03-06,212,
2024-03-07,174,
2024-03-08,197,
2024-03-09,187,
2024-03-10,181,
2024-03-11,198,
2024-03-12,183,
2024-03-13,197,
2024-03-14,168,
2024-03-15,200,14.8
2024-03-16,173,15.3
2024-03-17,186,15.0
2024-03-18,188,12.6
2024-03-19,190,13.0
2024-03-20,175,11.6
2024-03-21,182,15.1
2024-03-22,177,13.6
2024-03-23,169,13.7
2024-03-24,165,12.8
2024-03-25,185,10.3
2024-03-26,180,9.8
2024-03-27,171,10.0
2024-03-28,161,13.4
2024-03-29,170,10.3
2024-03-30,160,9.4
2024-03-31,155,12.4
2024-04-01,166,12.7
2024-04-02,161,6.9
2024-04-03,177,10.9
2024-04-04,162,7.3
2024-04-05,157,9.6
2024-04-06,128,9.0
2024-04-07,144,7.3
2024-04-08,147,8.3
2024-04-09,151,11.1
2024-04-10,148,6.4
2024-04-11,154,7.3
2024-04-12,127,8.5
2024-04-13,129,6.7
2024-04-14,151,4.5
2024-04-15,133,4.4
2024-04-16,146,7.4
2024-04-17,136,6.7
2024-04-18,143,10.6
2024-04-19,137,2.8
2024-04-20,133,5.2
2024-04-21,119,3.4
2024-04-22,136,6.4
2024-04-23,122,2.2
2024-04-24,130,1.8
2024-04-25,128,2.9
2024-04-26,118,1.1
2024-04-27,94,4.3
2024-04-28,105,1.8
2024-04-29,133,1.5
2024-04-30,121,4.1
2024-05-01,105,1.5
2024-05-02,107,0.5
2024-05-03,108,0.5
2024-05-04,78,2.3
2024-05-05,90,1.8
2024-05-06,107,1.1
2024-05-07,92,0.7
2024-05-08,108,0.5
2024-05-09,95,0.5
2024-05-10,95,0.5
2024-05-11,100,0.5
2024-05-12,75,0.5
2024-05-13,90,0.5
2024-05-14,106,0.6
2024-05-15,90,0.5
2024-05-16,87,0.5
2024-05-17,95,0.5
2024-05-18,86,1.1
2024-05-19,77,0.5
2024-05-20,100,0.5
2024-05-21,86,0.5
2024-05-22,72,0.5
2024-05-23,80,0.5
2024-05-24,74,0.5
2024-05-25,81,0.5
2024-05-26,66,0.5
2024-05-27,67,0.5
2024-05-28,83,0.5
2024-05-29,74,0.5
2024-05-30,66,0.5
2024-05-31,74,0.5
2024-06-01,51,0.5
2024-06-02,57,0.5
2024-06-03,69,0.5
2024-06-04,64,0.5
2024-06-05,52,0.5
2024-06-06,72,0.5
2024-06-07,71,0.5
2024-06-08,51,0.5
2024-06-09,40,0.5
2024-06-10,57,0.5
2024-06-11,68,0.5
2024-06-12,78,0.5
2024-06-13,79,0.5
2024-06-14,69,0.5
2024-06-15,37,0.5
2024-06-16,61,0.5
2024-06-17,66,0.5
2024-06-18,36,0.5
2024-06-19,58,0.5
2024-06-20,41,0.5
2024-06-21,59,0.5
2024-06-22,56,0.5
2024-06-23,40,0.5
2024-06-24,51,0.5
2024-06-25,56,0.5
2024-06-26,48,0.5
2024-06-27,53,0.5
2024-06-28,46,0.5
2024-06-29,36,0.5
2024-06-30,38,0.5
2024-07-01,52,0.5
2024-07-02,39,0.5
2024-07-03,53,0.5
2024-07-04,55,0.5
2024-07-05,52,0.5
2024-07-06,34,0.5
2024-07-07,36,0.5
2024-07-08,45,0.5
2024-07-09,54,0.5
2024-07-10,60,0.5
2024-07-11,59,0.5
2024-07-12,40,0.5
2024-07-13,49,0.5
2024-07-14,29,0.5
2024-07-15,54,0.5
2024-07-16,53,0.5
2024-07-17,44,0.5
2024-07-18,34,0.5
2024-07-19,62,0.5
2024-07-20,29,0.5
2024-07-21,29,0.5
2024-07-22,35,0.5
2024-07-23,58,0.5
2024-07-24,43,0.5
2024-07-25,41,0.5
2024-07-26,48,0.5
2024-07-27,27,0.5
2024-07-28,30,0.5
2024-07-29,31,0.5
2024-07-30,38,0.5
2024-07-31,39,0.5
2024-08-01,43,0.5
2024-08-02,50,0.5
2024-08-03,37,0.5
2024-08-04,49,0.5
2024-08-05,41,0.5
2024-08-06,46,0.5
2024-08-07,22,0.5
2024-08-08,43,0.5
2024-08-09,31,0.5
2024-08-10,43,0.5
2024-08-11,42,0.5
2024-08-12,69,0.5
2024-08-13,53,0.5
2024-08-14,59,0.5
2024-08-15,45,0.5
2024-08-16,62,0.5
2024-08-17,49,0.5
2024-08-18,46,0.5
2024-08-19,60,0.5
2024-08-20,62,0.5
2024-08-21,55,0.5
2024-08-22,63,0.5
2024-08-23,71,0.5
2024-08-24,50,0.5
2024-08-25,61,0.5
2024-08-26,64,0.5
2024-08-27,55,0.5
2024-08-28,93,0.5
2024-08-29,94,0.5
2024-08-30,68,0.5
2024-08-31,40,0.5
2024-09-01,66,0.5
2024-09-02,67,0.5
2024-09-03,79,0.5
2024-09-04,67,0.5
2024-09-05,82,0.5
2024-09-06,89,0.5
2024-09-07,81,0.5
2024-09-08,77,0.5
2024-09-09,90,0.5
2024-09-10,82,0.5
2024-09-11,94,0.5
2024-09-12,94,0.5
2024-09-13,86,0.5
2024-09-14,81,0.5
2024-09-15,81,0.5
2024-09-16,90,0.5
2024-09-17,90,0.5
2024-09-18,102,0.5
2024-09-19,97,0.5
2024-09-20,92,0.5
2024-09-21,99,3.5
2024-09-22,86,0.5
2024-09-23,103,0.5
2024-09-24,98,0.5
2024-09-25,112,0.5
2024-09-26,106,3.0
2024-09-27,118,3.1
2024-09-28,89,0.5
2024-09-29,101,1.6
2024-09-30,91,1.2
2024-10-01,127,2.8
2024-10-02,123,3.7
2024-10-03,138,2.2
2024-10-04,113,4.0
2024-10-05,107,5.0
2024-10-06,108,3.2
2024-10-07,133,6.3
2024-10-08,127,4.7
2024-10-09,135,2.0
2024-10-10,131,4.3
2024-10-11,141,6.6
2024-10-12,124,3.1
2024-10-13,118,5.9
2024-10-14,148,5.6
2024-10-15,145,9.4
2024-10-16,144,6.6
2024-10-17,133,6.7
2024-10-18,134,5.8
2024-10-19,120,6.3
2024-10-20,127,8.0
2024-10-21,152,9.1
2024-10-22,140,7.0
2024-10-23,136,8.0
2024-10-24,142,10.4
2024-10-25,153,10.6
2024-10-26,152,7.6
2024-10-27,142,10.7
2024-10-28,155,10.6
2024-10-29,156,10.5
2024-10-30,161,12.5
2024-10-31,156,11.7
2024-11-01,169,11.0
2024-11-02,151,11.0
2024-11-03,137,10.1
2024-11-04,159,11.2
2024-11-05,170,13.1
2024-11-06,179,12.3
2024-11-07,173,13.4
2024-11-08,180,13.4
2024-11-09,182,14.4
2024-11-10,167,11.6
2024-11-11,188,13.0
2024-11-12,194,14.3
2024-11-13,177,14.1
2024-11-14,183,13.7
2024-11-15,189,17.1
2024-11-16,191,13.2
2024-11-17,175,16.1
2024-11-18,204,15.3
2024-11-19,186,13.3
2024-11-20,172,17.3
2024-11-21,198,14.6
2024-11-22,188,15.8
2024-11-23,180,15.4
2024-11-24,186,17.3
2024-11-25,205,16.1
2024-11-26,195,17.7
2024-11-27,200,19.2
2024-11-28,222,15.1
2024-11-29,205,18.9
2024-11-30,192,17.2
2024-12-01,179,15.1
2024-12-02,209,18.2
2024-12-03,211,16.5
2024-12-04,206,17.8
2024-12-05,202,20.9
2024-12-06,225,20.7
2024-12-07,226,18.6
2024-12-08,208,20.1
2024-12-09,230,20.9
2024-12-10,217,22.5
2024-12-11,207,20.2
2024-12-12,228,19.8
2024-12-13,218,18.7
2024-12-14,192,23.6
2024-12-15,217,20.0
2024-12-16,217,20.2
2024-12-17,210,20.5
2024-12-18,214,21.2
2024-12-19,232,23.3
2024-12-20,234,18.8
2024-12-21,220,23.6
2024-12-22,229,22.1
2024-12-23,224,22.4
2024-12-24,218,22.9
2024-12-25,226,21.2
2024-12-26,224,21.7
2024-12-27,224,20.6
2024-12-28,216,21.1
2024-12-29,203,22.3
2024-12-30,224,23.2
2024-12-31,224,23.0
